TimeStamp,"Symbol","Price","Change from the Close","Volume Today","Earnings Date","Change from 20 Day SMA","Change from 50 Day SMA","Change from 10 Day SMA","Change from 200 Day SMA","Position in Year Range","Position in Lifetime Range"
2026-09-22 23:59:41,"PGR","206.84","-2.544292","200.7385","12.25","-5.4047894","-3.8981536","-4.4857176","-1.5492997","29.91352","67.174702"
2026-09-22 23:59:41,"RXRX","4.07","2.5188917","200.34771","","18.910233","24.571499","19.023245","12.918481","29.478458","3.2467532"
2026-09-22 23:59:41,"CARG","31.94","-3.70817","200.01177","","-7.8933717","-9.9500415","-5.4288084","-5.7867085","37.424397","47.389426"
2026-09-22 23:59:41,"DLO","14.21","-0.69881202","198.82771","","-4.8148521","-3.6126628","-2.5811549","5.1899143","58.143322","11.42037"
2026-09-22 23:59:41,"TVTX","60.28","-4.1043589","198.06318","22.25","-8.0880435","-2.3128567","-6.9910929","37.34305","81.89609","86.715925"
2026-09-22 23:59:41,"ABVX","98.51","-4.7752537","197.21048","-0.25","-12.610335","-18.709719","-11.328143","-17.164886","36.319919","65.07011"
2026-09-22 23:59:41,"CATX","3.01","1.3468013","196.64441","","-0.18239098","-0.90861206","4.622871","-16.416752","25.08918","8.0802292"
2026-09-22 23:59:41,"FWONK","94.62","-1.8770092","196.45636","28.25","-3.3903221","-4.9126448","-0.78432624","2.6359684","49.532744","83.808332"
2026-09-22 23:59:41,"HIMS","30.46","3.7819421","195.30967","","5.7088322","1.2222459","8.4333076","8.988902","32.428616","39.481924"
2026-09-22 23:59:41,"AES","14.8","-0.20229265","194.46608","27.25","0.091299651","0.17734167","-0.10799126","1.0866842","41.836735","30.716253"
2026-09-22 23:59:41,"STT","179.5","-2.6572636","194.06083","16.25","-5.4417119","-4.0743","-4.2666667","17.660935","82.003402","89.319383"
2026-09-22 23:59:41,"CX","10.23","2.0958084","193.44981","24.25","-3.8172216","-9.7294502","-1.8610878","-13.959141","30.364372","71.617162"
2026-09-22 23:59:41,"VOR","22","0.50251256","192.68569","","-4.6062177","0.57694466","-2.4411913","34.383155","35.673188","1.5260935"
2026-09-22 23:59:41,"CRML","8.47","-9.2175777","191.93047","","17.843478","25.448028","21.416287","-12.368463","12.409839","23.415265"
2026-09-22 23:59:41,"NUAI","6.92","-9.5424837","190.19292","","24.943581","33.140927","13.928221","41.992412","71.866295","72.326341"
2026-09-22 23:59:41,"LTH","38.0816","-4.5813079","189.70311","22.25","-10.297032","-11.887714","-7.6720131","14.848902","60.366313","76.215668"
2026-09-22 23:59:41,"CSCO","106.3841","-4.5540104","189.06542","","-3.3100367","-5.9138941","-3.0447938","10.343325","62.264666","76.313239"
2026-09-22 23:59:41,"TRP","59.78","-1.1574074","188.78996","36.25","-3.6707575","-7.3884755","-3.0851267","-4.9099114","47.342342","70.102302"
2026-09-22 23:59:41,"NEXT","6.8452","-2.4900285","187.28859","","-6.9692826","-4.5512838","-6.011259","0.45198114","46.663697","30.3426"
2026-09-22 23:59:41,"KBH","47.85","-0.020894275","187.24587","0.75","-6.9690607","-12.001945","-1.9708274","-14.276501","16.245487","47.608913"
2026-09-22 23:59:41,"GEN","27.05","-7.2041166","186.31418","","-10.53178","-5.4146173","-10.268532","9.0800588","66.85562","69.191769"
2026-09-22 23:59:41,"VLO","377.25","-4.0735346","183.6672","22.25","0.44197228","10.984612","-4.4936709","50.554929","84.156412","89.231184"
2026-09-22 23:59:41,"MRNA","182.3292","5.4291647","183.62828","27.25","23.795985","81.856373","23.39049","198.9214","103.5381","35.145427"
2026-09-22 23:59:41,"IBRX","9.2899","9.939645","182.73155","32.25","14.478127","19.846479","13.582346","34.631355","70.037214","20.39143"
2026-09-22 23:59:41,"UBS","49.24","-3.564434","182.45152","26.25","-8.2464537","-7.5818857","-6.3468811","5.4640396","65.744033","87.749906"
2026-09-22 23:59:41,"MGTX","12.35","-5.5810398","181.33962","","-9.3245228","-5.5940347","-5.1532134","23.724564","65.635739","33.133882"
2026-09-22 23:59:41,"CNK","35.45","-2.2068966","181.17443","28.25","-0.3359619","0.81792117","1.1989723","21.432804","79.689298","76.003067"
2026-09-22 23:59:41,"BNL","19.12","-0.82987552","179.97968","31.25","-6.8884079","-9.8733874","-4.4143391","-3.423613","33.052986","37.988827"
2026-09-22 23:59:41,"CGON","77.74","-0.65175719","179.88006","","3.500153","4.8635999","5.244636","24.116306","92.874476","95.118634"
2026-09-22 23:59:41,"BABA","116.83","0.93304536","179.86856","","3.3912095","-1.0368144","5.8923742","-12.196184","24.672229","22.509662"
2026-09-22 23:59:41,"ORBS","1.1707","11.495238","179.17179","","29.783601","53.232984","20.241984","4.6669647","4.3084788","3.1475625"
2026-09-22 23:59:41,"NVO","39.42","-0.95477387","179.14806","31.25","-12.076636","-15.603682","-8.4788232","-14.508783","14.807163","18.066388"
2026-09-22 23:59:41,"GEO","30.3","0.16528926","178.78026","32.25","-4.0759783","-2.6668619","-3.5676762","35.497722","86.19186","80.444382"
